V	DZ1	C1	Fn1	DZ2	C2	Fn2
-1.95642	0.2083	-4.67055E-11	1.17642E-10	0.7083	-1.64751E-11	3.98793E-11
-1.95625	0.2083	-4.67233E-11	1.17889E-10	0.7083	-1.648E-11	3.99393E-11
-1.95608	0.2076	-4.67203E-11	1.18002E-10	0.7076	-1.6485E-11	3.99993E-11
-1.95592	0.2076	-4.67381E-11	1.1825E-10	0.7076	-1.64899E-11	4.00595E-11
-1.95575	0.2069	-4.67351E-11	1.18365E-10	0.7069	-1.64949E-11	4.01198E-11
-1.95558	0.2069	-4.67529E-11	1.18615E-10	0.7069	-1.64998E-11	4.01802E-11
-1.95542	0.2062	-4.67499E-11	1.1873E-10	0.7062	-1.65048E-11	4.02406E-11
-1.95525	0.2062	-4.67676E-11	1.18981E-10	0.7062	-1.65097E-11	4.03012E-11
-1.95508	0.2055	-4.67646E-11	1.19097E-10	0.7055	-1.65146E-11	4.03618E-11
-1.95492	0.2055	-4.67823E-11	1.1935E-10	0.7055	-1.65196E-11	4.04226E-11
-1.95475	0.2048	-4.67792E-11	1.19467E-10	0.7048	-1.65245E-11	4.04834E-11
-1.95458	0.2048	-4.6797E-11	1.19722E-10	0.7048	-1.65294E-11	4.05444E-11
-1.95442	0.2041	-4.67939E-11	1.19838E-10	0.7041	-1.65344E-11	4.06054E-11
-1.95425	0.2041	-4.68116E-11	1.20095E-10	0.7041	-1.65393E-11	4.06666E-11
-1.95408	0.2034	-4.68084E-11	1.20211E-10	0.7034	-1.65442E-11	4.07278E-11
